Onset,Duration,Annotation
+0.0499,,learning
+0.2138,,normal beat
+1.0277,,normal beat
+1.8388,,normal beat
+2.6277,,normal beat
+3.4194,,normal beat
+4.2083,,normal beat
+5.0249,,normal beat
+5.6777,,atrial premature contraction
+6.6722,,normal beat
+7.5166,,normal beat
+8.3277,,normal beat
+9.1166,,normal beat
+9.8888,,normal beat
+10.7277,,normal beat
+11.5833,,normal beat
+12.4055,,normal beat
+13.2333,,normal beat
+14.0555,,normal beat
+14.8499,,normal beat
+15.6472,,normal beat
+16.4388,,normal beat
+17.2611,,normal beat
+18.1305,,normal beat
+18.9527,,normal beat
+19.7388,,normal beat
+20.5305,,normal beat
+21.3055,,normal beat
+22.0916,,normal beat
+22.9027,,normal beat
+23.7194,,normal beat
+24.5472,,normal beat
+25.3916,,normal beat
+26.1972,,normal beat
+26.9722,,normal beat
+27.7722,,normal beat
+28.5611,,normal beat
+29.4194,,normal beat
+30.2611,,normal beat
+31.0861,,normal beat
+31.8888,,normal beat
+32.7249,,normal beat
+33.5166,,normal beat
+34.3055,,normal beat
+35.1249,,normal beat
+35.9694,,normal beat
+36.8499,,normal beat
+37.6722,,normal beat
+38.4499,,normal beat
+39.2527,,normal beat
+40.0638,,normal beat
+40.8610,,normal beat
+41.6972,,normal beat
+42.5277,,normal beat
+43.3527,,normal beat
+44.1638,,normal beat
+44.9527,,normal beat
+45.7333,,normal beat
+46.5416,,normal beat
+47.3833,,normal beat
+48.2166,,normal beat
+49.0472,,normal beat
+49.8527,,normal beat
+50.6305,,normal beat
+51.4277,,normal beat
+52.2083,,normal beat
+52.9999,,normal beat
+53.8555,,normal beat
+54.7027,,normal beat
+55.5249,,normal beat
+56.3083,,normal beat
+57.0944,,normal beat
+57.8805,,normal beat
+58.6972,,normal beat
+59.5083,,normal beat
+60.3583,,normal beat
+61.1916,,normal beat
+62.0027,,normal beat
+62.7860,,normal beat
+63.5583,,normal beat
+64.3444,,normal beat
+65.1472,,normal beat
+65.9888,,normal beat
+66.8138,,normal beat
+67.6249,,normal beat
+68.4027,,normal beat
+69.2027,,normal beat
+69.9916,,normal beat
+70.7916,,normal beat
+71.6083,,normal beat
+72.4666,,normal beat
+73.2972,,normal beat
+74.0833,,normal beat
+74.8666,,normal beat
+75.6583,,normal beat
+76.4888,,normal beat
+77.3138,,normal beat
+78.1444,,normal beat
+78.9749,,normal beat
+79.7971,,normal beat
+80.5944,,normal beat
+81.3721,,normal beat
+82.1666,,normal beat
+82.9805,,normal beat
+83.8388,,normal beat
+84.6860,,normal beat
+85.4971,,normal beat
+86.2916,,normal beat
+87.0777,,normal beat
+87.8749,,normal beat
+88.6860,,normal beat
+89.5110,,normal beat
+90.3583,,normal beat
+91.2110,,normal beat
+92.0194,,normal beat
+92.7860,,normal beat
+93.5860,,normal beat
+94.3888,,normal beat
+95.2055,,normal beat
+96.0416,,normal beat
+96.8610,,normal beat
+97.6888,,normal beat
+98.4860,,normal beat
+99.2666,,normal beat
+100.0444,,normal beat
+100.8583,,normal beat
+101.6805,,normal beat
+102.5444,,normal beat
+103.3749,,normal beat
+104.1638,,normal beat
+104.9499,,normal beat
+105.7527,,normal beat
+106.5444,,normal beat
+107.3638,,normal beat
+108.1944,,normal beat
+109.0333,,normal beat
+109.8527,,normal beat
+110.6249,,normal beat
+111.3777,,normal beat
+112.1721,,normal beat
+112.9916,,normal beat
+113.8055,,normal beat
+114.6416,,normal beat
+115.4638,,normal beat
+116.2471,,normal beat
+116.9916,,normal beat
+117.8221,,normal beat
+118.6027,,normal beat
